,date,value
228,2005-06-01,224203.0
229,2005-05-01,205691.0
230,2005-04-01,190899.0
231,2005-03-01,209708.0
232,2005-02-01,188951.0
233,2005-01-01,177594.0
234,2004-12-01,201172.0
235,2004-11-01,188131.0
236,2004-10-01,186918.0
237,2004-09-01,197167.0
238,2004-08-01,184662.0
239,2004-07-01,163925.0
240,2004-06-01,197458.0
241,2004-05-01,181865.0
242,2004-04-01,183752.0
243,2004-03-01,214611.0
244,2004-02-01,180111.0
245,2004-01-01,164926.0
246,2003-12-01,187904.0
247,2003-11-01,173368.0
248,2003-10-01,190591.0
249,2003-09-01,187270.0
250,2003-08-01,170612.0
251,2003-07-01,150336.0
252,2003-06-01,183990.0
253,2003-05-01,172361.0
254,2003-04-01,168168.0
255,2003-03-01,188854.0
256,2003-02-01,169363.0
257,2003-01-01,160196.0
258,2002-12-01,167098.0
259,2002-11-01,164310.0
260,2002-10-01,174042.0
261,2002-09-01,174195.0
262,2002-08-01,176987.0
263,2002-07-01,151584.0
264,2002-06-01,173578.0
265,2002-05-01,176314.0
266,2002-04-01,170163.0
267,2002-03-01,183541.0
268,2002-02-01,167694.0
269,2002-01-01,152537.0
270,2001-12-01,170130.0
271,2001-11-01,160265.0
272,2001-10-01,175302.0
273,2001-09-01,169765.0
274,2001-08-01,171491.0
275,2001-07-01,144702.0
276,2001-06-01,188450.0
277,2001-05-01,180620.0
278,2001-04-01,166962.0
279,2001-03-01,201321.0
280,2001-02-01,176646.0
281,2001-01-01,167108.0
282,2000-12-01,192978.0
283,2000-11-01,185475.0
284,2000-10-01,187704.0
285,2000-09-01,210685.0
286,2000-08-01,187688.0
287,2000-07-01,159903.0
288,2000-06-01,237143.0
289,2000-05-01,190188.0
290,2000-04-01,186872.0
291,2000-03-01,212974.0
292,2000-02-01,189153.0
293,2000-01-01,185813.0
294,1999-12-01,202677.0
295,1999-11-01,183986.0
296,1999-10-01,193889.0
297,1999-09-01,202427.0
298,1999-08-01,186590.0
299,1999-07-01,159656.0
300,1999-06-01,198372.0
301,1999-05-01,182326.0
302,1999-04-01,180224.0
303,1999-03-01,204755.0
304,1999-02-01,185255.0
305,1999-01-01,171934.0
306,1998-12-01,185472.0
307,1998-11-01,177925.0
308,1998-10-01,181357.0
309,1998-09-01,193961.0
310,1998-08-01,173662.0
311,1998-07-01,145785.0
312,1998-06-01,187991.0
313,1998-05-01,175154.0
314,1998-04-01,178239.0
315,1998-03-01,193649.0
316,1998-02-01,182332.0
317,1998-01-01,164391.0
318,1997-12-01,179906.0
319,1997-11-01,185230.0
320,1997-10-01,183393.0
321,1997-09-01,190959.0
322,1997-08-01,170465.0
323,1997-07-01,150782.0
324,1997-06-01,187205.0
325,1997-05-01,165694.0
326,1997-04-01,170687.0
327,1997-03-01,180530.0
328,1997-02-01,172311.0
329,1997-01-01,155358.0
330,1996-12-01,166228.0
331,1996-11-01,168650.0
332,1996-10-01,169459.0
333,1996-09-01,174797.0
334,1996-08-01,153637.0
335,1996-07-01,138374.0
336,1996-06-01,172897.0
337,1996-05-01,163769.0
338,1996-04-01,155093.0
339,1996-03-01,176264.0
340,1996-02-01,159185.0
341,1996-01-01,150440.0
342,1995-12-01,163769.0
343,1995-11-01,156881.0
344,1995-10-01,158469.0
345,1995-09-01,168324.0
346,1995-08-01,151465.0
347,1995-07-01,123259.0
348,1995-06-01,161688.0
349,1995-05-01,151770.0
350,1995-04-01,146225.0
351,1995-03-01,167745.0
352,1995-02-01,156606.0
353,1995-01-01,143440.0
354,1994-12-01,154895.0
355,1994-11-01,150202.0
356,1994-10-01,151572.0
357,1994-09-01,153625.0
358,1994-08-01,142852.0
359,1994-07-01,119501.0
360,1994-06-01,155070.0
361,1994-05-01,140366.0
362,1994-04-01,137847.0
363,1994-03-01,149256.0
364,1994-02-01,139057.0
365,1994-01-01,131392.0
366,1993-12-01,138273.0
367,1993-11-01,131460.0
368,1993-10-01,135483.0
369,1993-09-01,134114.0
370,1993-08-01,124150.0
371,1993-07-01,107698.0
372,1993-06-01,138459.0
373,1993-05-01,123210.0
374,1993-04-01,126589.0
375,1993-03-01,138668.0
376,1993-02-01,130164.0
377,1993-01-01,115794.0
378,1992-12-01,131937.0
379,1992-11-01,121759.0
380,1992-10-01,131334.0
381,1992-09-01,126277.0
382,1992-08-01,113623.0
383,1992-07-01,103025.0
384,1992-06-01,131268.0
385,1992-05-01,122274.0
386,1992-04-01,123268.0
387,1992-03-01,129309.0
388,1992-02-01,118429.0
